year,step,length_km,area_km2,eroded_m3,deposited_m3,net_change_m3,storm_event,sea_level_m
0.0,0,6391.1,419695.1,0.0,0.0,0.0,false,0.0000
0.0,1,6323.2,419685.7,67833.2,0.0,67833.2,false,0.0000
0.0,2,6270.3,419676.2,52877.8,0.0,52877.8,false,0.0000
0.0,3,6228.5,419666.6,41808.9,0.0,41808.9,false,0.0000
0.0,4,6194.2,419657.1,34364.4,0.0,34364.4,false,0.0000
0.0,5,6164.9,419647.6,29224.9,0.0,29224.9,false,0.0000
